"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
6,163641630E-1;1,167000055E0;-5,841000080E0;1,003499985E1;1,166963551E1
6,188533310E-1;1,123999953E0;-5,892000198E0;9,434000015E0;1,117941852E1
6,213425620E-1;1,207999945E0;-5,869999886E0;9,215999603E0;1,099321660E1
6,238315620E-1;1,187999964E0;-5,822000027E0;8,916000366E0;1,071457376E1
6,263204850E-1;1,253000021E0;-5,894000053E0;8,798999786E0;1,066450388E1
6,288097160E-1;1,246000051E0;-5,827000141E0;8,626999855E0;1,048482586E1
6,312989760E-1;1,305999994E0;-5,962999821E0;8,493000031E0;1,045916117E1
6,337881290E-1;1,289000034E0;-5,906000137E0;8,430000305E0;1,037339211E1
6,362773600E-1;1,215000033E0;-6,006999969E0;8,288999557E0;1,030862684E1
6,387666680E-1;1,095000029E0;-6,283999920E0;8,428000450E0;1,056971483E1
6,412558220E-1;9,779999852E-1;-6,614999771E0;8,338999748E0;1,068894863E1
6,437450580E-1;7,929999828E-1;-6,802000046E0;8,279000282E0;1,074420305E1
6,462340580E-1;5,659999847E-1;-6,900000095E0;8,135000229E0;1,068216205E1
6,487235190E-1;2,770000100E-1;-7,125000000E0;8,060999870E0;1,076206639E1
6,512125190E-1;8,100000024E-2;-7,235000134E0;7,943999767E0;1,074518126E1
6,537017500E-1;-1,129999980E-1;-7,070000172E0;8,133000374E0;1,077698318E1
6,561908940E-1;-1,780000031E-1;-7,026999950E0;8,052000046E0;1,068855075E1
6,586801250E-1;-3,529999852E-1;-7,039000034E0;8,013999939E0;1,067222214E1
6,611691250E-1;-3,310000002E-1;-6,573999882E0;8,140000343E0;1,046836382E1
6,636579710E-1;-5,180000067E-1;-6,657999992E0;7,978000164E0;1,040412296E1
6,661469710E-1;-6,520000100E-1;-7,256999969E0;7,613999844E0;1,053860267E1
6,686361400E-1;-8,389999866E-1;-8,064000130E0;6,500000000E0;1,039143970E1
6,711250630E-1;-1,082999945E0;-8,161000252E0;6,022999763E0;1,020055587E1
6,736139860E-1;-1,274999976E0;-8,305999756E0;6,177000046E0;1,042931381E1
6,761029860E-1;-1,534000039E0;-8,291000366E0;6,538000107E0;1,066954960E1
6,785922170E-1;-1,491000056E0;-8,300999641E0;6,671999931E0;1,075384858E1
6,810813700E-1;-1,485999942E0;-8,449000359E0;6,682000160E0;1,087395646E1
6,835703700E-1;-1,485999942E0;-8,550000191E0;6,664999962E0;1,094225404E1
6,860595240E-1;-1,504999995E0;-8,781999588E0;6,803999901E0;1,121084102E1
6,885484180E-1;-1,595999956E0;-8,864000320E0;6,882999897E0;1,133549316E1
6,910376490E-1;-1,416000009E0;-9,182000160E0;6,961999893E0;1,160963503E1
6,935265720E-1;-1,389999986E0;-9,340000153E0;7,077000141E0;1,180049295E1
6,960154950E-1;-1,207999945E0;-9,611000061E0;7,126999855E0;1,202600154E1
6,985044950E-1;-1,126999974E0;-9,713999748E0;7,198999882E0;1,214320877E1
7,009933550E-1;-9,779999852E-1;-9,743000031E0;7,282999992E0;1,220346764E1
7,034822780E-1;-7,239999771E-1;-9,675999641E0;7,519999981E0;1,227597429E1
7,059712780E-1;-5,009999871E-1;-9,685000420E0;7,793000221E0;1,244110472E1
7,084598940E-1;-9,700000286E-2;-9,756999969E0;7,986999989E0;1,260954504E1
7,109488170E-1;4,350000024E-1;-9,701999664E0;8,234000206E0;1,273250886E1
7,134377560E-1;6,110000014E-1;-9,750000000E0;8,567000389E0;1,299343360E1
7,159269100E-1;6,380000114E-1;-9,859999657E0;8,741999626E0;1,319277055E1
7,184156020E-1;4,230000079E-1;-9,918000221E0;8,687000275E0;1,319127102E1
7,209048330E-1;2,750000060E-1;-9,942000389E0;8,590999603E0;1,314246061E1
7,233939870E-1;2,360000014E-1;-1,005399990E1;8,428000450E0;1,312134908E1
7,258829000E-1;6,899999827E-2;-1,006799984E1;8,078000069E0;1,290827126E1
7,283718230E-1;7,599999756E-2;-1,014000034E1;7,895999908E0;1,285193361E1
7,308607460E-1;-5,799999833E-2;-1,016899967E1;7,688000202E0;1,274822597E1
7,333496690E-1;-1,640000045E-1;-1,010900021E1;7,428999901E0;1,254626720E1
7,358386690E-1;-2,840000093E-1;-1,025300026E1;7,316999912E0;1,259933165E1
7,383275780E-1;-3,790000081E-1;-1,025500011E1;7,010000229E0;1,242774201E1
7,408164240E-1;-5,210000277E-1;-1,022399998E1;6,742000103E0;1,225790284E1
7,433051170E-1;-5,210000277E-1;-1,023900032E1;6,478000164E0;1,212736800E1
7,457939630E-1;-6,359999776E-1;-1,027700043E1;6,217000008E0;1,202798083E1
7,482826550E-1;-7,239999771E-1;-1,031799984E1;5,822000027E0;1,186932942E1
7,507718230E-1;-8,100000024E-1;-1,026000023E1;5,548999786E0;1,169252339E1
7,532607460E-1;-9,350000024E-1;-1,028400040E1;5,262000084E0;1,158980302E1
7,557496690E-1;-9,520000219E-1;-1,023400021E1;5,330999851E0;1,157845515E1
7,582386690E-1;-9,229999781E-1;-1,015200043E1;5,285999775E0;1,148289316E1
7,607275920E-1;-8,149999976E-1;-1,001799965E1;5,337999821E0;1,138063197E1
7,632164670E-1;-6,980000138E-1;-9,803000450E0;5,374000072E0;1,120115613E1
7,657053910E-1;-5,469999909E-1;-9,586999893E0;5,364999771E0;1,099968174E1
7,681943140E-1;-3,409999907E-1;-9,418999672E0;5,519999981E0;1,092264783E1
7,706832370E-1;-2,210000008E-1;-9,232999802E0;5,527999878E0;1,076363828E1
7,731721600E-1;-9,399999678E-2;-9,022000313E0;5,611000061E0;1,062490693E1
7,756608370E-1;6,899999827E-2;-8,861000061E0;5,714000225E0;1,054380774E1
7,781496830E-1;8,500000089E-2;-8,755999565E0;5,714000225E0;1,045583818E1
7,806386060E-1;-3,200000152E-2;-8,677000046E0;5,725999832E0;1,039607752E1
7,831272990E-1;-2,070000023E-1;-8,614999771E0;5,673999786E0;1,031771989E1
7,856162220E-1;-3,120000064E-1;-8,604999542E0;5,752999783E0;1,035569252E1
7,881053430E-1;-5,040000081E-1;-8,703000069E0;5,606999874E0;1,036506989E1
7,905942660E-1;-5,849999785E-1;-8,715000153E0;5,525000095E0;1,033533157E1
7,930831890E-1;-7,739999890E-1;-8,784999847E0;5,455999851E0;1,037030533E1
7,955721120E-1;-8,389999866E-1;-8,784999847E0;5,302000046E0;1,029520994E1
7,980611120E-1;-9,729999900E-1;-8,833000183E0;5,202000141E0;1,029705913E1
8,005502700E-1;-1,019000053E0;-8,939999580E0;4,980999947E0;1,028456679E1
8,030392700E-1;-1,000000000E0;-9,053000450E0;4,822999954E0;1,030621879E1
8,055284240E-1;-9,470000267E-1;-9,088999748E0;4,663000107E0;1,025915666E1
8,080173470E-1;-8,149999976E-1;-9,175000191E0;4,408999920E0;1,021196033E1
